"BehaviorSpace results (NetLogo 3D 6.0.2)"
"Projet_3D.nlogo3d"
"experiment"
"11/28/2018 18:34:03:403 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30"
"Certificate","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"range_circle","15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",
"Interaction","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"W_C","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"nbProvider","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"nbConsumer","500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",
"W_W","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"range_vision","395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",,"395",
"coeff_radius_max","0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",,"0.4",
"W_I","2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",
"Witness","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"[reporter]","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom"
"[final]","4.854751152889519","-1.06721231849578","4.803594023777043","-1.5721980101787179","4.615814013960917","-1.6033654540834392","4.386771496841049","-1.5089803725263073","3.6455461451107705","-1.8002158228472604","4.08572667209254","-1.6463989601245186","4.635532403690598","-0.8007002422992763","4.329317312224115","-1.997762493923924","4.4688866518046115","-1.6569912829979194","4.482422149792959","-1.3428522782286354","4.66608538592732","-1.5779181445991644","3.90309697151438","-1.5733924098794616","3.947721353387512","-1.446916092374297","4.559079755319023","-1.5922895923059153","4.665545193147752","-1.1545319295822545","4.099807605679319","-1.399412481190797","4.4630563168693165","-1.5201052195804352","3.8240712713696245","-1.3753615746146488","4.396054092996971","-1.4543069393976769","4.318338957735405","-1.7116446929448994","4.055579254029284","-1.8537723770671555","4.749022818895464","-1.4537662936147677","4.816791991469831","-1.8118891955355299","3.8451977942647195","-1.8077703515199326","4.802284343680732","-1.0698714372503384","4.392009757508509","-1.4266574894849953","3.8238568003794975","-1.6750859547758339","3.7727133952191685","-1.2580654912715479","4.754882003412049","-0.8166277768774496","4.16693757750761","-1.4007579199339972"
"[min]","-1.874355025647385","-2.2280689012750434","-1.2355606075553847","-2.129348612580701","-1.44318432072469","-1.7646570792401437","-1.7704332606757258","-1.9922530605638957","-1.8170962171112084","-2.4241811155025452","-1.3654566942452704","-2.094423013449154","-1.1909693950765627","-1.9509747109535225","-1.9369910977479268","-2.2280492546926","-1.444766385101705","-2.1556396841806458","-1.0958967767070975","-1.977864117994323","-1.7709337603446835","-2.163902457394037","-1.9499275516611625","-2.2481833445480284","-1.6316934458043686","-2.0961357852202522","-1.887738885904939","-2.1324764712722386","-1.307029167750624","-1.7449851184730336","-1.5176094410339092","-2.074039796646812","-1.915425696074923","-2.2384933802695484","-1.8439709841995002","-2.029946089418337","-1.5495767874209063","-2.0592128943575663","-1.918851541348852","-2.204147059760526","-1.5467388901649377","-2.092196191701294","-1.5195652152166828","-1.879034766314597","-0.8784932995045241","-1.858296898952047","-1.4997160554340656","-2.1478653343528182","-1.5948497460055395","-1.970717431104237","-1.3261829595573167","-2.026227346953105","-1.5996106917889361","-1.9043054474841854","-1.3999050744638817","-2.0781984393184585","-1.2024909015655196","-1.713063283599114","-1.6492145026843943","-2.117621972973844"
"[max]","5.039011581275446","0","5.086009373707693","0","4.895904461628654","0","4.78259103510423","0","3.7908935753659376","0","4.522253870419015","0","4.967209651191814","0","4.471786416481893","0","4.932648808071174","0","5.0683968746964565","0","4.721588386335058","0","4.334052046570276","0","4.392123137776182","0","4.727865118988856","0","5.179464107538578","0","4.511355953052979","0","4.682689972660996","0","4.414212272421659","0","4.628211299472443","0","4.8023273370911586","0","4.683550831517642","0","5.002545262717021","0","5.395845453099613","0","4.536637164017068","0","4.8727139556366685","0","4.740233174062138","0","4.492751610117714","0","4.445416972762488","0","4.922241982667887","0","4.895127788806493","0"
"[mean]","4.039549632420455","-1.5329873110734913","4.07359645057465","-1.3968073939474976","3.9523107802183657","-1.1954120405524729","3.8200995723064026","-1.4334548697980334","2.9756506291255604","-1.8367830622978745","3.5786414415290815","-1.373627636664583","4.112622217837602","-1.3563126089841075","3.627489390655357","-1.668335566028115","3.8269745617372903","-1.5533899884326403","4.005176064551621","-1.34360436517625","3.778526385739884","-1.4477891658436106","3.4078330778217256","-1.5737095947134276","3.5418731913067436","-1.359528781842049","3.772333780386415","-1.5369900212097813","4.220537635633906","-1.2196463738928598","3.6141357704834682","-1.4398756363609526","3.8536509679507556","-1.5464736340857068","3.477616958265631","-1.3572773990329772","3.6626420871723817","-1.4153434466256867","3.8956687932431247","-1.5716593191762742","3.7922397717628","-1.5491935998153585","4.134005874419932","-1.3134149596379234","4.170164676599417","-1.290639704076708","3.655643941099166","-1.668903369380436","3.921004158134525","-1.4300881133651184","3.788740979133566","-1.4118071998350106","3.6072151007701536","-1.3341765924370108","3.6318567818512806","-1.398565978662492","4.135693132816357","-1.1363108458036757","3.882704331014349","-1.4953158574119407"
"[steps]","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"

"[all run data]","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom","utilityIt","utilityRandom"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"-1.874355025647385","-1.2840588754449365","-1.2355606075553847","-1.201601249991508","-1.44318432072469","-1.2126226446658044","-1.7704332606757258","-1.1731908589160556","-1.7869031887061602","-2.162636919825365","-1.3654566942452704","-2.0526948060408707","-1.1909693950765627","-1.9354624977814474","-1.9369910977479268","-1.6530694250520297","-1.2685199209738198","-1.6682839359177717","-1.0958967767070975","-1.1435526351690477","-1.7709337603446835","-1.5242455770433136","-1.8200371160102489","-1.49889917411908","-1.6316934458043686","-1.44805318592555","-1.887738885904939","-1.6095886667275876","-1.0861226408704021","-0.903192685203906","-1.5176094410339092","-1.322384968910542","-1.915425696074923","-1.5261820522341565","-1.8439709841995002","-1.32347848024094","-1.2309392385241429","-1.327906078832058","-1.3779476703894125","-1.6890999616301885","-1.5467388901649377","-1.63832829874012","-1.1889942429431026","-1.257669161798088","-0.5855835648461698","-0.7657462080104311","-1.4997160554340656","-1.959272384180085","-1.0660210201996063","-1.4808376300854846","-1.3068303623763435","-1.353871084348043","-1.3372476462870755","-1.1202731325950632","-1.3999050744638817","-1.4761180754112462","-1.2024909015655196","-0.9173504674925753","-1.6492145026843943","-1.4819836320450264"
,"-1.6070020614589855","-1.4843130152184782","-0.9410434226031948","-1.30311578660541","-1.2438379096310026","-1.4225509651169983","-1.6402680772687097","-1.4963624569632865","-1.8170962171112084","-1.751085514873075","-1.3638229511021542","-1.159377402295311","-1.0617720277121918","-1.0955935716349183","-1.278272869038671","-1.3586440165552418","-1.444766385101705","-1.6527558185495976","-0.9252858698243199","-0.9498822535929564","-1.6584799137764328","-1.6881654196291402","-1.9499275516611625","-2.011025625564804","-1.5403133482608946","-1.660649251735682","-1.376736385872222","-1.5491861468904753","-1.307029167750624","-1.003369818861419","-1.4205472454658683","-1.658644910492461","-1.3252471721914751","-1.8051089174502342","-1.461383615461829","-1.4286003893350596","-1.5495767874209063","-1.5325861136216588","-1.918851541348852","-1.4736793489004634","-1.3370737197565155","-1.562324495478865","-1.5195652152166828","-1.345495241105145","-0.8784932995045241","-1.2514460699580958","-1.1483814175240132","-1.4702452119039167","-1.5948497460055395","-1.3311900073034173","-1.3261829595573167","-1.1859844155828767","-1.5996106917889361","-1.5863411607394438","-0.9944201970553909","-1.3163684346958524","-1.0060825506275495","-1.1316995390865976","-1.502325994275271","-1.6083292985701854"
